,count,mean,std,min,25%,50%,75%,max,10%,90%
Jan,20.0,6.934400000000001,0.8091158527416792,4.912,6.66,6.878,7.3149999999999995,8.792,0.8104000000000013,0.9583999999999993
Feb,20.0,8.5904,1.072331763273995,5.472,8.188,8.693999999999999,9.082,10.792,0.8848000000000003,1.1180000000000003
Mar,20.0,10.0754,1.1201430547737616,6.348000000000001,9.709,10.176000000000002,10.482000000000001,12.264,0.6402000000000001,0.9009999999999998
Apr,20.0,10.679799999999998,0.5997297286014933,9.52,10.332999999999998,10.614,10.817,11.879999999999999,0.5181999999999984,1.0858000000000008
May,20.0,10.453800000000001,0.6292391060889168,9.155999999999999,10.073,10.51,10.844,11.475999999999999,0.6926000000000005,0.7897999999999978
Jun,19.0,10.685684210526315,0.8467394360218616,9.708,10.08,10.516000000000002,10.982,12.492,0.7664842105263165,1.4391157894736857
Jul,20.0,10.3928,0.9437194944529472,8.732,10.043,10.216,10.849,12.332,1.0351999999999997,1.2027999999999999
Aug,20.0,10.488,1.1089036786038058,8.256,9.92,10.134,10.941,13.324,0.8384,1.2848000000000006
Sep,20.0,9.846,1.272050644473428,6.984,9.213000000000001,9.954,10.465,12.232000000000001,1.393600000000001,1.288000000000002
Oct,20.0,8.910400000000001,1.0013266147834503,6.78,8.511000000000001,8.902000000000001,9.536,10.824,1.023200000000001,1.0099999999999998
Nov,20.0,7.4426000000000005,0.8069834929505911,5.644,7.087,7.306,8.011,9.18,0.8354000000000008,0.7749999999999986
Dec,20.0,6.4738,0.9136803310613737,4.82,6.069000000000001,6.454,6.805,8.796000000000001,1.0233999999999996,0.9186000000000005
